ZipCode,City Name,State Abbr,Top Bid
01001,Agawam,MA,53.5
01002,Amherst,MA,53.5
01003,Amherst,MA,53.5
01005,Barre,MA,53.5
01007,Belchertown,MA,53.5
01008,Blandford,MA,53.5
01009,Bondsville,MA,53.5
01010,Brimfield,MA,53.5
01011,Chester,MA,53.5
01012,Chesterfield,MA,53.5
01013,Chicopee,MA,53.5
01020,Chicopee,MA,53.5
01022,Chicopee,MA,53.5
01026,Cummington,MA,53.5
01027,Easthampton,MA,53.5
01028,East Longmeadow,MA,53.5
01029,East Otis,MA,53.5
01030,Feeding Hills,MA,53.5
01031,Gilbertville,MA,53.5
01032,Goshen,MA,53.5
01033,Granby,MA,53.5
01034,Granville,MA,53.5
01035,Hadley,MA,53.5
01036,Hampden,MA,53.5
01037,Hardwick,MA,53.5
01038,Hatfield,MA,53.5
01039,Haydenville,MA,53.5
01040,Holyoke,MA,53.5
01050,Huntington,MA,53.5
01053,Leeds,MA,53.5
01054,Leverett,MA,53.5
01056,Ludlow,MA,53.5
01057,Monson,MA,53.5
01059,North Amherst,MA,53.5
01060,Northampton,MA,53.5
01062,Florence,MA,53.5
01063,Northampton,MA,53.5
01066,North Hatfield,MA,53.5
01068,Oakham,MA,53.5
01069,Palmer,MA,53.5
01070,Plainfield,MA,53.5
01071,Russell,MA,53.5
01072,Shutesbury,MA,53.5
01073,Southampton,MA,53.5
01074,South Barre,MA,53.5
01075,South Hadley,MA,53.5
01077,Southwick,MA,53.5
01079,Thorndike,MA,53.5
01080,Three Rivers,MA,53.5
01081,Wales,MA,53.5
01082,Ware,MA,53.5
01083,Warren,MA,53.5
01084,West Chesterfield,MA,53.5
01085,Westfield,MA,53.5
01088,West Hatfield,MA,53.5
01089,West Springfield,MA,53.5
01092,West Warren,MA,53.5
01093,Whately,MA,53.5
01094,Wheelwright,MA,53.5
01095,Wilbraham,MA,53.5
01096,Williamsburg,MA,53.5
01097,Woronoco,MA,53.5
01098,Worthington,MA,53.5
01103,Springfield,MA,53.5
01104,Springfield,MA,53.5
01105,Springfield,MA,53.5
01106,Longmeadow,MA,53.5
01107,Springfield,MA,53.5
01108,Springfield,MA,53.5
01109,Springfield,MA,53.5
01118,Springfield,MA,53.5
01119,Springfield,MA,53.5
01128,Springfield,MA,53.5
01129,Springfield,MA,53.5
01151,Indian Orchard,MA,53.5
01201,Pittsfield,MA,53.5
01220,Adams,MA,53.5
01222,Ashley Falls,MA,53.5
01223,Becket,MA,53.5
01224,Berkshire,MA,53.5
01225,Cheshire,MA,53.5
01226,Dalton,MA,53.5
01229,Glendale,MA,53.5
01230,Great Barrington,MA,53.5
01235,Hinsdale,MA,53.5
01236,Housatonic,MA,53.5
01237,Lanesborough,MA,53.5
01238,Lee,MA,53.5
01240,Lenox,MA,53.5
01242,Lenox Dale,MA,53.5
01243,Middlefield,MA,53.5
01244,Mill River,MA,53.5
01245,Monterey,MA,53.5
01247,North Adams,MA,53.5
01252,North Egremont,MA,53.5
01253,Otis,MA,53.5
01254,Richmond,MA,53.5
01255,Sandisfield,MA,53.5
01256,Savoy,MA,53.5
01257,Sheffield,MA,53.5
01258,South Egremont,MA,53.5
01259,Southfield,MA,53.5
01260,South Lee,MA,53.5
01262,Stockbridge,MA,53.5
01264,Tyringham,MA,53.5
01266,West Stockbridge,MA,53.5
01267,Williamstown,MA,53.5
01270,Windsor,MA,53.5
01301,Greenfield,MA,53.5
01330,Ashfield,MA,53.5
01331,Athol,MA,53.5
01337,Bernardston,MA,53.5
01338,Buckland,MA,53.5
01339,Charlemont,MA,53.5
01340,Colrain,MA,53.5
01341,Conway,MA,53.5
01342,Deerfield,MA,53.5
01343,Drury,MA,53.5
01344,Erving,MA,53.5
01346,Heath,MA,53.5
01347,Lake Pleasant,MA,53.5
01349,Millers Falls,MA,53.5
01350,Monroe Bridge,MA,53.5
01351,Montague,MA,53.5
01354,Gill,MA,53.5
01355,New Salem,MA,53.5
01360,Northfield,MA,53.5
01364,Orange,MA,53.5
01366,Petersham,MA,53.5
01367,Rowe,MA,53.5
01368,Royalston,MA,53.5
01370,Shelburne Falls,MA,53.5
01373,South Deerfield,MA,53.5
01375,Sunderland,MA,53.5
01376,Turners Falls,MA,53.5
01378,Warwick,MA,53.5
01379,Wendell,MA,53.5
01380,Wendell Depot,MA,53.5
01420,Fitchburg,MA,53.5
01430,Ashburnham,MA,53.5
01431,Ashby,MA,53.5
01432,Ayer,MA,53.5
01434,Devens,MA,53.5
01436,Baldwinville,MA,53.5
01438,East Templeton,MA,53.5
01440,Gardner,MA,53.5
01450,Groton,MA,53.5
01451,Harvard,MA,53.5
01452,Hubbardston,MA,53.5
01453,Leominster,MA,53.5
01460,Littleton,MA,53.5
01462,Lunenburg,MA,53.5
01463,Pepperell,MA,53.5
01464,Shirley,MA,53.5
01467,Still River,MA,53.5
01468,Templeton,MA,53.5
01469,Townsend,MA,53.5
01472,West Groton,MA,53.5
01473,Westminster,MA,53.5
01474,West Townsend,MA,53.5
01475,Winchendon,MA,53.5
01501,Auburn,MA,53.5
01503,Berlin,MA,53.5
01504,Blackstone,MA,53.5
01505,Boylston,MA,53.5
01506,Brookfield,MA,53.5
01507,Charlton,MA,53.5
01508,Charlton City,MA,53.5
01509,Charlton Depot,MA,53.5
01510,Clinton,MA,53.5
01515,East Brookfield,MA,53.5
01516,Douglas,MA,53.5
01518,Fiskdale,MA,53.5
01519,Grafton,MA,53.5
01520,Holden,MA,53.5
01521,Holland,MA,53.5
01522,Jefferson,MA,53.5
01523,Lancaster,MA,53.5
01524,Leicester,MA,53.5
01525,Linwood,MA,53.5
01526,Manchaug,MA,53.5
01527,Millbury,MA,53.5
01529,Millville,MA,53.5
01531,New Braintree,MA,53.5
01532,Northborough,MA,53.5
01534,Northbridge,MA,53.5
01535,North Brookfield,MA,53.5
01536,North Grafton,MA,53.5
01537,North Oxford,MA,53.5
01538,North Uxbridge,MA,53.5
01540,Oxford,MA,53.5
01541,Princeton,MA,53.5
01542,Rochdale,MA,53.5
01543,Rutland,MA,53.5
01545,Shrewsbury,MA,53.5
01550,Southbridge,MA,53.5
01560,South Grafton,MA,53.5
01561,South Lancaster,MA,53.5
01562,Spencer,MA,53.5
01564,Sterling,MA,53.5
01566,Sturbridge,MA,53.5
01568,Upton,MA,53.5
01569,Uxbridge,MA,53.5
01570,Webster,MA,53.5
01571,Dudley,MA,53.5
01581,Westborough,MA,53.5
01583,West Boylston,MA,53.5
01585,West Brookfield,MA,53.5
01586,West Millbury,MA,53.5
01588,Whitinsville,MA,53.5
01590,Sutton,MA,53.5
01602,Worcester,MA,53.5
01603,Worcester,MA,53.5
01604,Worcester,MA,53.5
01605,Worcester,MA,53.5
01606,Worcester,MA,53.5
01607,Worcester,MA,53.5
01608,Worcester,MA,53.5
01609,Worcester,MA,53.5
01610,Worcester,MA,53.5
01611,Cherry Valley,MA,53.5
01612,Paxton,MA,53.5
01701,Framingham,MA,53.5
01702,Framingham,MA,53.5
01718,Acton,MA,53.5
01719,Boxborough,MA,53.5
01720,Acton,MA,53.5
01721,Ashland,MA,53.5
01730,Bedford,MA,53.5
01731,Hanscom AFB,MA,53.5
01740,Bolton,MA,53.5
01741,Carlisle,MA,53.5
01742,Concord,MA,53.5
01745,Fayville,MA,53.5
01746,Holliston,MA,53.5
01747,Hopedale,MA,53.5
01748,Hopkinton,MA,53.5
01749,Hudson,MA,53.5
01752,Marlborough,MA,53.5
01754,Maynard,MA,53.5
01756,Mendon,MA,53.5
01757,Milford,MA,53.5
01760,Natick,MA,53.5
01770,Sherborn,MA,53.5
01772,Southborough,MA,53.5
01773,Lincoln,MA,53.5
01775,Stow,MA,53.5
01776,Sudbury,MA,53.5
01778,Wayland,MA,53.5
01784,Woodville,MA,53.5
01801,Woburn,MA,53.5
01803,Burlington,MA,53.5
01810,Andover,MA,53.5
01821,Billerica,MA,53.5
01824,Chelmsford,MA,53.5
01826,Dracut,MA,53.5
01827,Dunstable,MA,53.5
01830,Haverhill,MA,53.5
01832,Haverhill,MA,53.5
01833,Georgetown,MA,53.5
01834,Groveland,MA,53.5
01835,Haverhill,MA,53.5
01840,Lawrence,MA,53.5
01841,Lawrence,MA,53.5
01843,Lawrence,MA,53.5
01844,Methuen,MA,53.5
01845,North Andover,MA,53.5
01850,Lowell,MA,53.5
01851,Lowell,MA,53.5
01852,Lowell,MA,53.5
01854,Lowell,MA,53.5
01860,Merrimac,MA,53.5
01862,North Billerica,MA,53.5
01863,North Chelmsford,MA,53.5
01864,North Reading,MA,53.5
01865,Nutting Lake,MA,53.5
01866,Pinehurst,MA,53.5
01867,Reading,MA,53.5
01876,Tewksbury,MA,53.5
01879,Tyngsboro,MA,53.5
01880,Wakefield,MA,53.5
01885,West Boxford,MA,53.5
01886,Westford,MA,53.5
01887,Wilmington,MA,53.5
01890,Winchester,MA,53.5
01901,Lynn,MA,53.5
01902,Lynn,MA,53.5
01904,Lynn,MA,53.5
01905,Lynn,MA,53.5
01906,Saugus,MA,53.5
01907,Swampscott,MA,53.5
01908,Nahant,MA,53.5
01913,Amesbury,MA,53.5
01915,Beverly,MA,53.5
01921,Boxford,MA,53.5
01922,Byfield,MA,53.5
01923,Danvers,MA,53.5
01929,Essex,MA,53.5
01930,Gloucester,MA,53.5
01936,Hamilton,MA,53.5
01937,Hathorne,MA,53.5
01938,Ipswich,MA,53.5
01940,Lynnfield,MA,53.5
01944,Manchester,MA,53.5
01945,Marblehead,MA,53.5
01949,Middleton,MA,53.5
01950,Newburyport,MA,53.5
01951,Newbury,MA,53.5
01952,Salisbury,MA,53.5
01960,Peabody,MA,53.5
01965,Prides Crossing,MA,53.5
01966,Rockport,MA,53.5
01969,Rowley,MA,53.5
01970,Salem,MA,53.5
01982,South Hamilton,MA,53.5
01983,Topsfield,MA,53.5
01984,Wenham,MA,53.5
01985,West Newbury,MA,53.5
02018,Accord,MA,53.5
02019,Bellingham,MA,53.5
02020,Brant Rock,MA,53.5
02021,Canton,MA,53.5
02025,Cohasset,MA,53.5
02026,Dedham,MA,53.5
02030,Dover,MA,53.5
02032,East Walpole,MA,53.5
02035,Foxboro,MA,53.5
02038,Franklin,MA,53.5
02040,Greenbush,MA,53.5
